158,75,198492
87,32,198583
17,43,198584
90,29,198669
16,40,198669
86,29,198758
17,37,198758
157,63,198758
89,29,198843
15,34,198843
84,28,198928
12,34,198928
88,30,199021
13,36,199021
88,32,199103
15,38,199103
85,26,199186
15,36,199186
88,30,199277
14,35,199277
88,29,199361
14,33,199361
90,31,199440
15,36,199441
4,2,199529
83,30,199529
14,38,199529
156,79,199529
81,28,199624
8,40,199624
79,29,199713
6,42,199713
84,29,199795
6,39,199795
82,30,199875
8,38,199875
85,31,199965
9,39,199965
86,31,200059
10,39,200059
87,31,200142
11,37,200142
87,32,200235
14,37,200235
90,31,200324
19,36,200324
89,34,200407
20,39,200407
2,63,200407
87,33,200493
16,2,200493
21,42,200494
3,62,200494
92,34,200588
21,41,200588
90,34,200681
21,43,200681
87,31,200763
94,34,200843
25,39,200844
92,31,200926
26,39,200926
91,32,201011
87,32,201093
20,39,201094
2,61,201094
88,31,201177
19,38,201177
86,28,201272
17,38,201273
87,32,201368
16,40,201368
4,60,201368
89,31,201460
17,41,201460
88,32,201553
17,42,201553
89,31,201648
15,41,201648
89,30,201744
15,39,201744
91,34,201835
17,39,201835
11,0,201915
90,33,201915
17,40,201915
90,31,201994
19,39,201994
86,30,202088
20,37,202088
91,32,202177
20,38,202178
90,35,202271
21,39,202271
89,35,202353
20,39,202353
2,61,202353
88,32,202434
19,40,202434
86,32,202517
19,42,202517
88,33,202597
19,42,202598
88,34,202684
19,43,202685
91,34,202777
19,41,202777
87,32,202860
19,40,202861
85,32,202955
156,88,202955
88,34,203044
21,42,203045
89,31,203130
20,42,203130
88,32,203218
20,40,203218
88,32,203304
20,44,203304
85,29,203389
20,41,203389
85,33,203474
21,43,203474
85,30,203558
85,28,203647
21,37,203648
85,31,203731
85,30,203815
23,38,203815
85,31,203909
24,41,203909
90,31,204005
86,30,204092
87,28,204171
89,24,204255
87,29,204344
84,31,204438
84,33,204535
0,70,204535
84,32,204626
85,32,204705
82,31,204793
83,32,204883
84,33,204970
87,33,205059
85,34,205142
82,33,205222
88,35,205310
86,29,205400
87,35,205484
87,35,205565
86,31,205648
87,29,205732
90,33,205811
3,71,205811
87,35,205893
89,30,205982
85,32,206074
91,31,206157
29,53,206157
88,33,206236
28,55,206236
86,31,206321
91,32,206405
88,33,206496
91,32,206580
94,31,206655
2,62,206655
93,32,206747
89,36,206844
87,36,206938
85,35,207029
82,33,207121
89,30,207199
89,30,207291
87,32,207384
87,33,207473
89,36,207558
1,65,207558
87,35,207638
1,66,207638
17,1,207720
87,36,207720
